spacing,order,R,cond,Q_orig,Q_deformed,Q_change_mean,Q_change_max_abs,q_min_deformed
linear,C0,0.2,13585.144642008292,0.9987772790536814,0.7848671507042108,-0.21391012834947076,3.998885309799376,-2.999163600337513
linear,C0,0.6666666666666666,105291.25552670806,0.9987772790536814,0.6510829460765395,-0.347694332977142,3.999563439675755,-2.9998481296603168
linear,C0,1.1333333333333333,268807.28377245564,0.9987772790536814,0.6907839344597557,-0.30799334459392574,3.8941399193560926,-2.9104070360975562
linear,C0,1.5999999999999999,469042.2577236248,0.9987772790536814,0.7374810022953618,-0.2612962767583197,3.1121246248211327,-2.140734502809056
linear,C0,2.0666666666666664,682971.5631943154,0.9987772790536814,0.7643992661188019,-0.2343780129348794,2.4470283693833847,-1.519517478562248
linear,C0,2.533333333333333,903219.2062563103,0.9987772790536814,0.7809367903040189,-0.21784048874966255,2.069281131789568,-1.178225541118397
linear,C0,3.0,1126892.9473276914,0.9987772790536814,0.7918235280468244,-0.2069537510068571,1.8296655894561602,-1.017055264834564
linear,C0,8.222222222222221,3689679.8264132086,0.9987772790536814,0.8239140423288435,-0.17486323672483803,1.0821079282760335,-1.204367693359294
linear,C0,13.444444444444445,6273417.187877507,0.9987772790536814,0.8294427993219752,-0.1693344797317062,0.9473835171586393,-1.25953821230281
linear,C0,18.666666666666668,8860555.039287297,0.9987772790536814,0.83161602092115,-0.16716125813253158,0.8904052881570579,-1.2832276590695026
linear,C0,23.88888888888889,11448866.205578763,0.9987772790536814,0.8327573363718541,-0.16601994268182738,0.8920410244730488,-1.2963657557563661
linear,C0,29.11111111111111,14037719.876387918,0.9987772790536814,0.8334548233250403,-0.16532245572864124,0.8997510429448146,-1.3047114066128866
linear,C0,34.333333333333336,16626868.722644864,0.9987772790536814,0.8339230922519614,-0.16485418680172007,0.9051024132100952,-1.3104805312748415
linear,C0,39.55555555555556,19216195.93478299,0.9987772790536814,0.8342580525071945,-0.16451922654648693,0.9090335190439809,-1.314706090695823
linear,C0,44.77777777777778,21805639.116644416,0.9987772790536814,0.834509285658616,-0.16426799339506543,0.9120433820492779,-1.317934204937008
linear,C0,50.0,24395161.960973628,0.9987772790536814,0.8347045138619217,-0.16407276519175987,0.914421803491793,-1.3204806359897012
linear,C2,0.2,55257536.54017368,0.9987772790536814,0.7900783942704502,-0.20869888478323115,3.998495355866642,-2.9989139280908335
linear,C2,0.6666666666666666,4670986789.963159,0.9987772790536814,0.751774223442181,-0.24700305561150046,3.9994801055746203,-2.999639508809071
linear,C2,1.1333333333333333,34493773762.79372,0.9987772790536814,0.7464354032083452,-0.25234187584533624,3.999368633327425,-2.9998676924622973
linear,C2,1.5999999999999999,122548761791.77533,0.9987772790536814,0.7884933568597158,-0.21028392219396572,3.586573903483428,-2.587202629530522
linear,C2,2.0666666666666664,302694051654.1579,0.9987772790536814,0.8160854790994806,-0.18269179995420082,2.7391574306999518,-1.7397446106144114
linear,C2,2.533333333333333,606564975135.1393,0.9987772790536814,0.8338986588786069,-0.16487862017507457,2.1383886877981704,-1.6962143607171187
linear,C2,3.0,1064368806720.7272,0.9987772790536814,0.8463449658920237,-0.15243231316165778,1.7405638580862126,-1.696186667538571
linear,C2,8.222222222222221,25451367614078.77,0.9987772790536814,0.892426290658128,-0.10635098839555364,0.6412553231245349,-1.6961159748780195
linear,C2,13.444444444444445,113055643397433.95,0.9987772790536814,0.9042410229104706,-0.0945362561432109,0.47486929428664737,-1.6961045874853529
linear,C2,18.666666666666668,300043611084254.44,0.9987772790536814,0.9098548888504042,-0.08892239020327733,0.4101166977250271,-1.696100006223027
linear,C2,23.88888888888889,637614983875613.4,0.9987772790536814,0.913211931260016,-0.08556534779366538,0.376388236857222,-1.6960974935356328
linear,C2,29.11111111111111,1123938455012662.6,0.9987772790536814,0.9155120393851097,-0.08326523966857173,0.3564940713585901,-1.6960959866094054
linear,C2,34.333333333333336,2227925687836194.2,0.9987772790536814,0.9172513106532002,-0.0815259684004813,0.34384205605203977,-1.6960950454307024
linear,C2,39.55555555555556,2583457297278830.5,0.9987772790536814,0.9186723429671955,-0.08010493608648606,0.3341043065715207,-1.6960941530718756
