spacing,order,R,cond,Q_orig,Q_deformed,Q_change_mean,Q_change_max_abs,q_min_deformed
log,C0,0.2,13585.144642008292,0.9987772790536814,0.7848671507042108,-0.21391012834947076,3.998885309799376,-2.999163600337513
log,C0,0.314083560495004,29096.24362592733,0.9987772790536814,0.7835583808260289,-0.2152188982276527,3.9987617402366995,-2.9989964703086787
log,C0,0.49324241486609405,62121.914569519206,0.9987772790536814,0.7133871061359817,-0.2853901729176997,3.999676147566913,-2.999785607907056
log,C0,0.7745966692414834,137770.96605986686,0.9987772790536814,0.6487036995786952,-0.35007357947498635,3.999481992843996,-2.9999816562970754
log,C0,1.2164403991146802,302800.6315117751,0.9987772790536814,0.7011708253872284,-0.297606453666453,3.7773411818599936,-2.8009371808427983
log,C0,1.910319658419512,610372.8325044119,0.9987772790536814,0.7568799586423326,-0.24189732041134887,2.6410077473108404,-1.6696176252987636
log,C0,3.0,1126892.9473276914,0.9987772790536814,0.7918235280468244,-0.2069537510068571,1.8296655894561602,-1.017055264834564
log,C0,4.100928778589602,1661493.357600214,0.9987772790536814,0.8065994379130873,-0.19217784114059422,1.4898631901126902,-1.0569840959616514
log,C0,5.605872282354803,2399459.2286046618,0.9987772790536814,0.8163527539897271,-0.18242452506395443,1.2575966365461522,-1.136310855401773
log,C0,7.66309432393553,3413536.399495038,0.9987772790536814,0.8227937081299166,-0.17598357092376476,1.1081530569951685,-1.1938288408210966
log,C0,10.47526801535795,4803650.534154741,0.9987772790536814,0.8270707166994339,-0.1717065623542476,1.0066414236830008,-1.235131758711518
log,C0,14.31944268920687,6706763.127799393,0.9987772790536814,0.8299324928456914,-0.16884478620799018,0.9348061195200801,-1.2647482084435953
log,C0,19.574338205844317,9310370.065238798,0.9987772790536814,0.8318632997516998,-0.16691397930198165,0.8837090443796591,-1.2860266878365438
log,C0,26.757655623397643,12870975.83455392,0.9987772790536814,0.8331776238641175,-0.1655996551895639,0.8966515810608333,-1.301361168605907
log,C0,36.57707999786044,17739365.11374664,0.9987772790536814,0.8340797636430661,-0.1646975154106154,0.9069297444774724,-1.3124460542016436
log,C0,50.0,24395161.960973628,0.9987772790536814,0.8347045138619217,-0.16407276519175987,0.914421803491793,-1.3204806359897012
log,C2,0.2,55257536.54017368,0.9987772790536814,0.7900783942704502,-0.20869888478323115,3.998495355866642,-2.9989139280908335
log,C2,0.314083560495004,292135423.5217949,0.9987772790536814,0.7840637924676443,-0.21471348658603712,3.9986674485972737,-2.9988940685017216
log,C2,0.49324241486609405,1531786449.0797768,0.9987772790536814,0.781595703776652,-0.21718157527702955,3.999459900360165,-2.9996469132753916
log,C2,0.7745966692414834,8213248754.926579,0.9987772790536814,0.7323690459222865,-0.2664082331313949,3.999571968070478,-2.999804005721378
log,C2,1.2164403991146802,44909956902.89917,0.9987772790536814,0.754571411654644,-0.24420586739903746,3.9991569210697113,-2.9996910522530373
log,C2,1.910319658419512,230088495513.39218,0.9987772790536814,0.8082441136033007,-0.19053316545038065,3.0002955954879758,-2.0009341987921405
log,C2,3.0,1064368806720.7272,0.9987772790536814,0.8463449658920237,-0.15243231316165778,1.7405638580862126,-1.696186667538571
log,C2,4.100928778589602,2923661275547.5303,0.9987772790536814,0.8649833524466258,-0.13379392660705555,1.21553509028803,-1.6961523842059658
log,C2,5.605872282354803,7810805685674.283,0.9987772790536814,0.8792764999368703,-0.11950077911681106,0.8865483250073808,-1.6961315044067389
log,C2,7.66309432393553,20486909260757.906,0.9987772790536814,0.8903086962688933,-0.10846858278478803,0.6764531521286716,-1.6961182410983984
log,C2,10.47526801535795,53216700360008.305,0.9987772790536814,0.8988403835640134,-0.09993689548966803,0.5467210560162679,-1.6961094861401258
log,C2,14.31944268920687,136675070782361.33,0.9987772790536814,0.9054391914344047,-0.09333808761927691,0.4610899189306613,-1.6961035783567593
log,C2,19.574338205844317,355822959538307.3,0.9987772790536814,0.9105512189644795,-0.08822606008920189,0.4027275091522172,-1.6960994403394691
log,C2,26.757655623397643,879906322792010.6,0.9987772790536814,0.9145660533574008,-0.08421122569628066,0.36472927050113524,-1.696096743967158
log,C2,36.57707999786044,2828421007242549.0,0.9987772790536814,0.917891478342,-0.08088580071168144,0.33929215630455467,-1.696094917989544
log,C2,50.0,5702760812200304.0,0.9987772790536814,0.92102991475408,-0.07774736429960147,0.3203369902048443,-1.6960929428845213
log,C4,0.2,15995705687.02145,0.9987772790536814,0.8029127126424755,-0.1958645664112059,3.9961145473792836,-2.996636608000749
log,C4,0.314083560495004,203522223183.58484,0.9987772790536814,0.789329139357887,-0.20944813969579457,3.997722889698257,-2.99809377495325
log,C4,0.49324241486609405,2617926984786.888,0.9987772790536814,0.7916329151536673,-0.2071443639000143,3.999306085249557,-2.999548204335256
log,C4,0.7745966692414834,34013630060772.016,0.9987772790536814,0.7699301558440774,-0.22884712320960401,3.9991678901117367,-2.999345277705709
log,C4,1.2164403991146802,469549334772757.7,0.9987772790536814,0.7503349468299929,-0.2484423322236887,3.9989541476569603,-2.999440450883102
log,C4,1.910319658419512,4597072369567444.0,0.9987772790536814,0.7908074629506476,-0.2079698161030339,3.8191254619328956,-2.8198124723305202
log,C4,3.0,1.7931643393427766e+16,0.9987772790536814,0.8293213153713226,-0.169455963682359,2.4764673373747246,-1.6962034366692142
log,C4,4.100928778589602,1.0789538376232238e+17,0.9987772790536814,0.8472246685493552,-0.15155261050432625,1.7886239807710504,-1.6961468536468898
log,C4,5.605872282354803,6.109429874243636e+17,0.9987772790536814,0.859782334184367,-0.13899494486931435,1.345693685435038,-1.6960982966383913
log,C4,7.66309432393553,4.078811860023461e+18,0.9987772790536814,0.8692810429132014,-0.12949623614047998,1.081438156331358,-1.6960966266546076
log,C4,10.47526801535795,1.4590260478729615e+19,0.9987772790536814,0.8756035700333668,-0.12317370902031467,0.9158586669741583,-1.6961035382483343
log,C4,14.31944268920687,6.956388072643955e+18,0.9987772790536814,0.8806359054917925,-0.11814137356188888,0.8125288941701588,-1.696091666952546
log,C4,19.574338205844317,6.699453241176372e+18,0.9987772790536814,0.8843273543169163,-0.11444992473676509,0.7377185552143236,-1.6960847030422785
log,C4,26.757655623397643,9.069030719297761e+18,0.9987772790536814,0.8871380638190124,-0.11163921523466921,0.6833049538699323,-1.6960177192934478
log,C4,36.57707999786044,2.287409884932007e+19,0.9987772790536814,0.8897488606452912,-0.1090284184083902,0.650060734608305,-1.696092178521741
log,C4,50.0,9.427733813813903e+18,0.9987772790536814,0.8924605372782294,-0.1063167417754521,0.6256504195282971,-1.696095011925114
